v0:	[18, 130, 64, 23, 124, 52, 132, 46, 5, 43, 66, 138, 103, 9, 44, 102, 37, 10, 49, 129, 8, 107, 98, 109, 72, 127, 110, 116, 42, 91, 125, 26, 97, 38, 30, 115, 40, 13, 136, 85, 88, 65, 86, 105, 29]
v1:	[92, 23, 17, 140, 110, 0, 127, 103, 91, 16, 80, 77, 32, 76, 5, 122, 35, 115, 65, 79, 26, 111, 49, 114, 56, 117, 88, 18, 51, 74, 132, 40, 86, 89, 14, 83, 141, 78, 69, 13, 108, 109, 139, 85, 99]
v2:	[9, 85, 110, 92, 131, 97, 70, 43, 71, 49, 58, 28, 46, 94, 13, 99, 75, 3, 124, 127, 74, 121, 112, 10, 138, 107, 56, 37, 16, 118, 38, 22, 23, 45, 103, 40, 78, 122, 47, 68, 42, 109, 21, 66, 53]
v3:	[90, 104, 83, 26, 18, 15, 63, 111, 21, 13, 78, 96, 77, 30, 136, 110, 81, 65, 52, 42, 107, 131, 134, 114, 51, 75, 79, 29, 94, 122, 35, 47, 34, 89, 45, 92, 49, 37, 102, 14, 140, 99, 0, 41, 71]
v4:	[64, 84, 67, 110, 129, 53, 32, 77, 91, 117, 140, 38, 99, 139, 25, 5, 3, 70, 81, 132, 51, 111, 13, 127, 49, 29, 121, 107, 86, 136, 16, 43, 66, 26, 59, 9, 79, 116, 34, 7, 37, 58, 41, 92, 8]
v5:	[103, 10, 43, 58, 9, 142, 136, 46, 92, 90, 131, 79, 100, 86, 122, 50, 107, 0, 129, 16, 49, 3, 13, 81, 77, 53, 17, 115, 109, 29, 26, 97, 91, 23, 124, 37, 110, 14, 130, 47, 11, 1, 84, 40, 51]
v6:	[132, 77, 80, 52, 1, 99, 26, 140, 59, 3, 98, 75, 37, 115, 50, 47, 127, 72, 88, 79, 53, 18, 133, 83, 91, 89, 129, 121, 130, 67, 5, 100, 51, 23, 68, 43, 131, 104, 117, 76, 122, 25, 111, 95, 49]
v7:	[118, 34, 53, 49, 91, 109, 5, 69, 108, 25, 68, 125, 134, 30, 40, 7, 76, 141, 122, 23, 98, 79, 67, 138, 83, 18, 14, 54, 142, 19, 22, 129, 16, 28, 0, 131, 114, 26, 78, 119, 72, 11, 127, 105, 80]
v8:	[21, 11, 99, 110, 25, 81, 37, 15, 19, 75, 77, 38, 90, 129, 1, 3, 8, 108, 118, 46, 7, 122, 10, 59, 45, 35, 17, 14, 112, 0, 44, 107, 104, 132, 71, 91, 23, 139, 72, 113, 100, 119, 76, 103, 18]
v9:	[99, 46, 131, 127, 35, 10, 79, 81, 26, 117, 92, 105, 85, 116, 1, 15, 134, 5, 54, 23, 89, 45, 34, 96, 37, 138, 129, 38, 32, 18, 76, 119, 107, 11, 83, 91, 111, 72, 140, 17, 98, 80, 88, 56, 30]
